-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                          |            Gemini-Align (Cutoff 3.0)             |            Gemini-Align (Cutoff 5.0)             |            Gemini-Align (Cutoff 7.0)             |                Official TM-align                
Mobile       Reference    |   AlignLen       RMSD TM-score(mob) TM-score(ref) |   AlignLen       RMSD TM-score(mob) TM-score(ref) |   AlignLen       RMSD TM-score(mob) TM-score(ref) |   AlignLen       RMSD TM-score(mob) TM-score(ref)
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
d1he9a_      d1nfn__      |         92       5.22      0.48606      0.48325 |        107       6.76      0.60752      0.60393 |        105       5.41      0.60323      0.59966 |        106       3.92      0.50372      0.50117
d1hcy_2      d1lnlb1      |        166       8.36      0.47383      0.41620 |        181       8.10      0.50793      0.44728 |        210       5.56      0.59721      0.52694 |        164       3.49      0.50949      0.44465
d1afra_      d1jkua_      |        156      11.44      0.32976      0.40929 |        177       8.56      0.38168      0.47184 |        197       7.60      0.45098      0.56094 |        179       3.99      0.41873      0.52396
d1ay9b_      d1b12a_      |         84       7.82      0.45004      0.24984 |         88       5.61      0.46359      0.26449 |         98       8.53      0.50463      0.28850 |         90       2.49      0.67498      0.33296
d1hx6a1      d1p2za2      |        152      11.57      0.44148      0.34575 |        184       7.08      0.56731      0.44430 |        186       7.11      0.56326      0.44183 |        149       4.70      0.45758      0.35571
d1b09a_      d1dy4a_      |        179       5.92      0.64047      0.34211 |        190       5.97      0.65990      0.35801 |        192       5.46      0.62602      0.34845 |        161       3.60      0.59071      0.31363
d1olza2      d2trcb_      |        225      10.91      0.37218      0.49682 |        247       7.18      0.41761      0.55548 |        297       4.72      0.53859      0.72201 |        293       3.53      0.52994      0.71063
d1gbga_      d1ovwa_      |        190       6.80      0.65212      0.38671 |        184       5.24      0.62524      0.37590 |        196       6.59      0.62164      0.38053 |        195       3.24      0.74413      0.42860
d1ed9a_      d1p49a_      |        318       7.15      0.58389      0.48903 |        352       6.59      0.64483      0.54113 |        380       6.69      0.67636      0.56979 |        269       4.62      0.49026      0.41017
d1xyza_      d2hvm__      |        199       4.51      0.51891      0.59580 |        213       4.30      0.53550      0.61167 |        245       4.66      0.62577      0.71568 |        235       4.32      0.55752      0.63462
d1crl__      d1ede__      |        250       4.02      0.41205      0.66934 |        261       3.95      0.42195      0.67823 |        273       3.57      0.43711      0.69912 |        235       4.39      0.36486      0.58509
d1cpo_1      d1cpo_2      |         91       5.86      0.44477      0.33344 |         94       8.04      0.46080      0.34682 |         99       6.56      0.45866      0.34954 |         83       3.90      0.45235      0.33338
d1jj7a_      d1lvga_      |        132       7.19      0.38791      0.48575 |        146       5.39      0.44847      0.56128 |        152       3.99      0.47419      0.59396 |        124       4.55      0.34362      0.42356
d2adma_      d2hmyb_      |        148       9.85      0.28239      0.32356 |        154      11.37      0.29529      0.33854 |        256       6.72      0.53676      0.61626 |        173       4.77      0.34433      0.39479
d1lzy__      d148le_      |        100       5.00      0.53564      0.44973 |        114       4.03      0.60537      0.51083 |        113       4.06      0.60600      0.51097 |         91       4.41      0.44357      0.37434
d1an9a1      d1npx_1      |        142       7.15      0.42466      0.50863 |        139       7.78      0.42162      0.50264 |        150       8.34      0.44154      0.52573 |        139       3.41      0.46461      0.56386
d1dmaa_      d1lt3a_      |        133       8.23      0.46222      0.42571 |        151       5.75      0.53782      0.49629 |        173       7.99      0.60993      0.56303 |        117       4.47      0.39291      0.36266
